Event,Site,Date,Round,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,MovesProcessed,Clock
?,?,????.??.??,?,?,?,0-1,,,,,,,,,,,"1. e4 1... b6 2. d4 2... Bb7 3. d5 3... d6 4. f4 4... Nd7 5. c4 5... e5 6. f5 6... Be7 7. Nc3 7... Bg5 8. Nf3 8... Bxc1 9. Rxc1 9... a5 10. Bd3 10... Nc5 11.
O-O 11... h6 12. a4 12... Nf6 13. b3 13... Nh5 14. Ne2 14... g6 15.
fxg6 15... fxg6 16. Bc2 16... Qe7 17. Ng3 17... Nxg3 18. hxg3 18... O-O-O 19. Nh4 19... Rdg8 20.
Qg4 20... Kb8 21. Rf2 21... Bc8 22. Qe2 22... Qg5 23. Rf3 23... Qxc1",1. 0:03:00 1... 0:03:00 2. 0:02:58 2... 0:03:00 3. 0:02:57 3... 0:03:00 4. 0:02:56 4... 0:03:00 5. 0:02:55 5... 0:03:00 6. 0:02:53 6... 0:02:58 7. 0:02:52 7... 0:02:57 8. 0:02:50 8... 0:02:56 9. 0:02:49 9... 0:02:56 10. 0:02:48 10... 0:02:55 11. 0:02:46 11... 0:02:51 12. 0:02:44 12... 0:02:49 13. 0:02:42 13... 0:02:43 14. 0:02:34 14... 0:02:20 15. 0:02:26 15... 0:02:20 16. 0:02:24 16... 0:02:15 17. 0:02:21 17... 0:02:12 18. 0:02:21 18... 0:02:09 19. 0:02:20 19... 0:02:04 20. 0:02:13 20... 0:02:02 21. 0:02:12 21... 0:02:00 22. 0:02:09 22... 0:01:51 23. 0:02:00 23... 0:01:49
Rated Blitz game,https://lichess.org/2JlrkvCZ,2024.08.01,-,mitaniyumi,ozinahutu,1-0,2024.08.01,06:57:39,1665.0,1640.0,,,C50,Italian Game: Giuoco Piano,180+0,Time forfeit,"1. e4 1... e5 2. Nf3 2... Nc6 3. Bc4 3... Bc5 4. h3 4... h6 5. O-O 5... d6 6. Nc3 6... a6 7. a3 7... Nge7 8. d3 8... Ba7 9. Re1 9...
O-O 10. Be3 10... Kh8 11. Bxa7 11... Nxa7 12. Nd5 12... Nac6 13. Nxe7 13... Nxe7 14. b4 14... f5 15. exf5 15... Nxf5 16. d4 16... Nh4 17. Nxh4 17... Qxh4 18. Bd5 18... Qxf2 19. Kh1 19... Qxd4 20. Qxd4 20... exd4 21. Re7 21... Rb8 22. Rxc7 22... Bf5 23. Bb3 23... b5 24. Re1 24... Rbc8 25. g4 25... Rxc7 26.
gxf5 26... Rxf5 27. Re6 27... Rc8 28. Rxd6 28... Rcf8 29. Rxd4 29... Rh5 30. Kg2 30... Rf6 31.
Rd8 31... Kh7 32. Rd7 32... Rg6 33. Kf3 33... Rxh3 34. Kf4 34... Rf6 35.
Ke5 35... Rh5 36. Ke4 36... Rg5 37. Rd8 37... Rg2 38. Kd3 38... Rg3 39.
Kd2 39... Rxb3 40. cxb3 40... h5 41. Ke2 41...
h4 42. Rd5 42... g6 43. Rd4 43... g5 44. a4",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:02:58 3. 0:02:58 3... 0:02:56 4. 0:02:57 4... 0:02:54 5. 0:02:56 5... 0:02:53 6. 0:02:56 6... 0:02:52 7. 0:02:54 7... 0:02:50 8. 0:02:53 8... 0:02:49 9. 0:02:53 9... 0:02:47 10. 0:02:51 10... 0:02:45 11. 0:02:49 11... 0:02:43 12. 0:02:47 12... 0:02:41 13. 0:02:45 13... 0:02:39 14. 0:02:39 14... 0:02:38 15. 0:02:38 15... 0:02:36 16. 0:02:30 16... 0:02:35 17. 0:02:21 17... 0:02:29 18. 0:02:17 18... 0:02:25 19. 0:02:16 19... 0:02:18 20. 0:02:08 20... 0:02:17 21. 0:02:00 21... 0:02:11 22. 0:01:57 22... 0:02:05 23. 0:01:47 23... 0:02:01 24. 0:01:45 24... 0:01:37 25. 0:01:34 25... 0:01:33 26. 0:01:32 26... 0:01:28 27. 0:01:30 27... 0:01:19 28. 0:01:28 28... 0:01:11 29. 0:01:18 29... 0:01:07 30. 0:01:15 30... 0:00:54 31. 0:01:03 31... 0:00:45 32. 0:01:01 32... 0:00:39 33. 0:00:58 33... 0:00:37 34. 0:00:57 34... 0:00:35 35. 0:00:55 35... 0:00:32 36. 0:00:52 36... 0:00:24 37. 0:00:37 37... 0:00:19 38. 0:00:33 38... 0:00:18 39. 0:00:32 39... 0:00:16 40. 0:00:30 40... 0:00:15 41. 0:00:29 41... 0:00:14 42. 0:00:27 42... 0:00:09 43. 0:00:23 43... 0:00:07 44. 0:00:22
Rated Blitz game,https://lichess.org/rGm7S9ir,2024.08.01,-,Alexxxey86,Canada-night,1-0,2024.08.01,06:57:39,2269.0,2184.0,,,B12,Caro-Kann Defense: Advance Variation,180+0,Normal,"1. e4 1... c6 2. d4 2... d5 3. e5 3... Qb6 4. Nf3 4... Bg4 5. Be2 5... Bxf3 6. Bxf3 6... e6 7. O-O 7... Nd7 8. b3 8... g6 9. c4 9... Ne7 10. c5 10... Qc7 11.
b4 11... Bg7 12. Nc3 12... b6 13. a4 13... a5 14. cxb6 14... Nxb6 15. b5 15... c5 16. dxc5 16... Nc4 17. c6 17...
Nxe5 18. Ba3 18... Nc4 19. Bxe7 19... Kxe7 20. Nxd5 20... exd5 21. Bxd5 21... Rhd8 22. Qe2 22... Ne5 23. Rad1 23... Kf8 24.
f4 24... Qb6 25. Kh1 25... Ke8 26. fxe5 26... Qc5 27. Bxf7 27... Ke7 28. Rxd8 28... Rxd8 29. Qe4 29... Bxe5 30. Qh4 30... Kd6 31. Qxd8",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:03:00 3. 0:02:58 3... 0:02:59 4. 0:02:57 4... 0:02:58 5. 0:02:56 5... 0:02:57 6. 0:02:55 6... 0:02:57 7. 0:02:54 7... 0:02:57 8. 0:02:51 8... 0:02:56 9. 0:02:50 9... 0:02:51 10. 0:02:44 10... 0:02:49 11. 0:02:43 11... 0:02:49 12. 0:02:39 12... 0:02:46 13. 0:02:37 13... 0:02:46 14. 0:02:30 14... 0:02:41 15. 0:02:27 15... 0:02:37 16. 0:02:23 16... 0:02:26 17. 0:02:19 17... 0:02:24 18. 0:02:13 18... 0:02:18 19. 0:02:05 19... 0:02:16 20. 0:02:01 20... 0:02:10 21. 0:01:57 21... 0:01:57 22. 0:01:50 22... 0:01:56 23. 0:01:47 23... 0:01:54 24. 0:01:44 24... 0:01:41 25. 0:01:43 25... 0:01:28 26. 0:01:41 26... 0:01:16 27. 0:01:37 27... 0:01:14 28. 0:01:27 28... 0:01:13 29. 0:01:19 29... 0:00:40 30. 0:01:13 30... 0:00:36 31. 0:01:11
Rated Blitz game,https://lichess.org/5mxdei3L,2024.08.01,-,bundyrum,Ferrocinetica,1-0,2024.08.01,06:57:39,979.0,996.0,,,C46,Three Knights Opening,180+0,Normal,"1. e4 1... e5 2. Nc3 2... Nc6 3. Nf3 3... Qf6 4. d4 4... Bb4 5. a3 5... Bxc3 6. bxc3 6... d6 7. d5 7... Nce7 8. c4 8... Bg4 9. Be2 9... Bxf3 10. Bxf3 10... c6 11. dxc6 11... Nxc6 12. Bb2 12... Nge7 13.
g3 13... O-O 14. O-O 14... a6 15. Bg2 15... b5 16. cxb5 16... axb5 17. f4 17... exf4 18. Rxf4 18... Qxb2 19. Qf1 19... f6 20. Rd1 20... Qe5 21. Rf5 21... Nxf5 22.
exf5 22... b4 23. Bxc6 23... Rxa3 24. Qc4 24... Rf7 25. Bd5 25... Rc3 26.
Bxf7 26... Kf8 27. Qd5 27... Qxd5 28. Bxd5 28... Rxc2 29. Rb1 29... g6 30. fxg6 30... hxg6 31. Rxb4 31... Ke7 32. Rb7 32... Kd8 33. Be6 33... Rc1 34. Kf2 34... Rc2 35. Kf3 35... Rc3 36.
Kg2 36... Rc2 37. Kh3 37... Re2 38. Bf7 38... Kc8 39. Ra7 39... Kb8 40.
Ra6 40... Kb7 41. Rxd6 41... Re7 42. Bxg6 42... Kc7 43. Rxf6 43... Kd7 44.
g4 44... Re8 45. Bxe8 45... Kxe8 46. g5 46... Ke7 47. Kg4 47... Ke8 48.
Kf5 48... Ke7 49. g6 49... Ke8 50. g7 50... Kd7 51. g8=Q 51... Ke7 52.
Qg7 52... Ke8 53. Rf8",1. 0:03:00 1... 0:03:00 2. 0:02:51 2... 0:03:00 3. 0:02:44 3... 0:03:00 4. 0:02:43 4... 0:02:59 5. 0:02:41 5... 0:02:59 6. 0:02:40 6... 0:02:56 7. 0:02:39 7... 0:02:54 8. 0:02:37 8... 0:02:53 9. 0:02:35 9... 0:02:52 10. 0:02:35 10... 0:02:50 11. 0:02:30 11... 0:02:48 12. 0:02:27 12... 0:02:42 13. 0:02:22 13... 0:02:41 14. 0:02:19 14... 0:02:35 15. 0:02:16 15... 0:02:33 16. 0:02:12 16... 0:02:32 17. 0:02:08 17... 0:02:28 18. 0:02:07 18... 0:02:25 19. 0:01:43 19... 0:02:23 20. 0:01:41 20... 0:02:04 21. 0:01:33 21... 0:02:00 22. 0:01:30 22... 0:01:55 23. 0:01:28 23... 0:01:49 24. 0:01:22 24... 0:01:43 25. 0:01:06 25... 0:01:37 26. 0:01:03 26... 0:01:26 27. 0:00:55 27... 0:01:16 28. 0:00:55 28... 0:01:14 29. 0:00:53 29... 0:01:08 30. 0:00:52 30... 0:01:07 31. 0:00:51 31... 0:01:05 32. 0:00:49 32... 0:01:00 33. 0:00:45 33... 0:00:54 34. 0:00:43 34... 0:00:51 35. 0:00:37 35... 0:00:49 36. 0:00:31 36... 0:00:47 37. 0:00:30 37... 0:00:45 38. 0:00:27 38... 0:00:43 39. 0:00:22 39... 0:00:41 40. 0:00:21 40... 0:00:40 41. 0:00:20 41... 0:00:38 42. 0:00:18 42... 0:00:30 43. 0:00:17 43... 0:00:28 44. 0:00:17 44... 0:00:25 45. 0:00:16 45... 0:00:23 46. 0:00:15 46... 0:00:22 47. 0:00:14 47... 0:00:19 48. 0:00:14 48... 0:00:18 49. 0:00:14 49... 0:00:17 50. 0:00:14 50... 0:00:16 51. 0:00:14 51... 0:00:15 52. 0:00:13 52... 0:00:14 53. 0:00:13
Rated Blitz game,https://lichess.org/QzitFeBv,2024.08.01,-,S_vorg,Falkor1,1-0,2024.08.01,06:57:39,1919.0,1882.0,,,A04,Zukertort Opening: Black Mustang Defense,180+0,Normal,"1. Nf3 1... Nc6 2. g3 2... d5 3. Bg2 3... Bf5 4. O-O 4... e6 5. d4 5... Bb4 6. c4 6...
Nge7 7. cxd5 7... Nxd5 8. a3 8... Ba5 9. Re1 9... Bxe1 10. Qxe1 10... h6 11. e4 11... Bg6 12.
exd5 12... Qxd5 13. Be3 13... Bxb1 14. Rxb1 14... Qf5 15. Nh4 15... Qf6 16. d5 16... Ne7 17.
dxe6 17... Qxe6 18. Bxb7 18... Rb8 19. Bg2 19... a6 20. Bd4 20... O-O 21. Qxe6 21... fxe6 22. Nf3 22... Nf5 23. Bc3 23... Rfd8 24. Re1 24... Rd6 25. Ne5 25... g5 26. Nc4 26... Rd7 27.
Rxe6 27... Rd1 28. Bf1 28... Nd6 29. Nxd6 29... cxd6 30. Kg2 30... Rb7 31. Rxh6 31... Kf7 32.
Bc4 32... Ke8 33. Rh8 33... Kd7 34. Bxa6 34... Rb6 35. Rh7 35... Kc6 36. Be2 36... Rd5 37.
Bf3 37... Rb7 38. Bxd5",1. 0:03:00 1... 0:03:00 2. 0:03:00 2... 0:02:58 3. 0:03:00 3... 0:02:57 4. 0:03:00 4... 0:02:56 5. 0:03:00 5... 0:02:54 6. 0:03:00 6... 0:02:51 7. 0:02:59 7... 0:02:49 8. 0:02:59 8... 0:02:47 9. 0:02:55 9... 0:02:45 10. 0:02:55 10... 0:02:40 11. 0:02:55 11... 0:02:31 12. 0:02:54 12... 0:02:28 13. 0:02:48 13... 0:02:20 14. 0:02:47 14... 0:02:19 15. 0:02:38 15... 0:02:17 16. 0:02:35 16... 0:02:10 17. 0:02:28 17... 0:02:08 18. 0:02:25 18... 0:02:05 19. 0:02:15 19... 0:01:56 20. 0:02:13 20... 0:01:53 21. 0:02:11 21... 0:01:51 22. 0:02:07 22... 0:01:49 23. 0:02:07 23... 0:01:38 24. 0:02:01 24... 0:01:23 25. 0:01:46 25... 0:01:14 26. 0:01:41 26... 0:00:57 27. 0:01:39 27... 0:00:53 28. 0:01:38 28... 0:00:43 29. 0:01:36 29... 0:00:42 30. 0:01:34 30... 0:00:29 31. 0:01:32 31... 0:00:22 32. 0:01:29 32... 0:00:19 33. 0:01:25 33... 0:00:18 34. 0:01:22 34... 0:00:12 35. 0:01:21 35... 0:00:12 36. 0:01:17 36... 0:00:09 37. 0:01:16 37... 0:00:07 38. 0:01:16
Rated Blitz game,https://lichess.org/LMP5xZlM,2024.08.01,-,aspectoftwilight,ovcharook23,1-0,2024.08.01,06:57:39,1700.0,1692.0,,,B15,Caro-Kann Defense,180+0,Normal,"1. e4 1... c6 2. d4 2... d5 3. Nc3 3... e5 4. exd5 4... cxd5 5. dxe5 5... Nc6 6. Qxd5 6...
Qxd5 7. Nxd5 7... Kd8 8. Bg5 8... f6 9. exf6 9... gxf6 10. Nxf6 10... Bb4 11. c3 11... Be7 12. O-O-O 12... Kc7 13. Nd5 13... Kb8 14. Bf4",1. 0:03:00 1... 0:03:00 2. 0:02:58 2... 0:03:00 3. 0:02:57 3... 0:02:54 4. 0:02:54 4... 0:02:53 5. 0:02:52 5... 0:02:52 6. 0:02:51 6... 0:02:50 7. 0:02:50 7... 0:02:45 8. 0:02:46 8... 0:02:44 9. 0:02:45 9... 0:02:42 10. 0:02:43 10... 0:02:40 11. 0:02:42 11... 0:02:36 12. 0:02:37 12... 0:02:31 13. 0:02:36 13... 0:02:27 14. 0:02:32
Rated Blitz game,https://lichess.org/LGQFbE8g,2024.08.01,-,grantdean,Plagegeist,1-0,2024.08.01,06:57:39,1513.0,1507.0,,,A41,Queen's Pawn Game,180+0,Normal,"1. d4 1... d6 2. Bf4 2... Nf6 3. Nf3 3... g6 4. e3 4... Bg7 5. Bd3 5... O-O 6. Nbd2 6...
Re8 7. c3 7... Nbd7 8.
Qc2 8... e5 9. dxe5 9... dxe5 10. Bg3 10... Nc5 11. Bc4 11... e4 12.
Ng5 12... Be6 13. Rd1 13... Bxc4 14. Nxc4 14... Qe7 15. O-O 15... Nd3 16.
f3 16... b5 17. Nd2 17... h6 18. Ngxe4 18... Nxe4 19. Nxe4 19... Ne5 20.
Rd5 20... Red8 21. Rfd1 21... Rxd5 22. Rxd5 22... c6 23. Rd6 23... Qxd6 24. Nxd6 24... Rd8 25.
Bxe5 25... Bxe5 26. Ne4 26... f5 27. Nc5 27...
Rd5 28. b4 28... a5 29. a3 29... Kg7 30. e4 30... fxe4 31. Qxe4 31... Bxc3 32. Qe7 32... Kg8 33. Ne6 33... Rd1 34.
Kf2 34... Ra1 35. Qf8 35... Kh7 36. Qf7 36... Kh8 37. Nf8 37... Bg7 38.
Nxg6 38... Kh7 39. Nf8 39... Kh8 40. Ne6 40... Bd4 41. Nxd4",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:02:59 3. 0:02:59 3... 0:02:58 4. 0:02:58 4... 0:02:57 5. 0:02:57 5... 0:02:57 6. 0:02:55 6... 0:02:56 7. 0:02:54 7... 0:02:56 8. 0:02:53 8... 0:02:55 9. 0:02:52 9... 0:02:55 10. 0:02:51 10... 0:02:53 11. 0:02:43 11... 0:02:49 12. 0:02:42 12... 0:02:43 13. 0:02:41 13... 0:02:41 14. 0:02:41 14... 0:02:39 15. 0:02:38 15... 0:02:37 16. 0:02:26 16... 0:02:32 17. 0:02:23 17... 0:02:27 18. 0:02:20 18... 0:02:26 19. 0:02:20 19... 0:02:20 20. 0:02:08 20... 0:02:17 21. 0:02:05 21... 0:02:15 22. 0:02:05 22... 0:02:14 23. 0:02:03 23... 0:02:12 24. 0:02:01 24... 0:02:10 25. 0:01:57 25... 0:02:08 26. 0:01:54 26... 0:02:06 27. 0:01:50 27... 0:01:59 28. 0:01:48 28... 0:01:51 29. 0:01:46 29... 0:01:45 30. 0:01:45 30... 0:01:33 31. 0:01:45 31... 0:01:28 32. 0:01:39 32... 0:01:24 33. 0:01:35 33... 0:01:16 34. 0:01:34 34... 0:01:11 35. 0:01:28 35... 0:01:09 36. 0:01:27 36... 0:01:08 37. 0:01:22 37... 0:00:58 38. 0:01:16 38... 0:00:56 39. 0:01:14 39... 0:00:55 40. 0:01:10 40... 0:00:45 41. 0:01:08
Rated Blitz game,https://lichess.org/kc1jNfUj,2024.08.01,-,rachiderrai123,salvatoretore,1-0,2024.08.01,06:57:39,1433.0,1437.0,,,D20,Queen's Gambit Accepted: Old Variation,180+0,Normal,"1. d4 1... d5 2. c4 2... dxc4 3. e3 3... e6 4. Bxc4 4... Bd6 5.
Nf3 5... Qe7 6. O-O 6... Nf6 7. Nc3 7... a6 8. Bd2 8... b5 9. Bb3 9... Bb7 10. a4 10...
b4 11. Ne2 11... a5 12. Ne5 12... Bxe5 13. dxe5 13... Nfd7 14. Nf4 14... Qg5 15. e4 15... Bxe4 16. Bc2 16... Bxc2 17.
Qxc2 17... Qxe5 18. Rae1 18... Qc5 19. Qe4 19... Nf6 20. Qxa8 20... O-O 21. Qf3 21... Nbd7 22.
Nh5 22... Ne5 23. Qf4 23... Nd3 24. Nxf6 24... gxf6 25. Qg3 25... Kh8 26.
Qxd3",1. 0:03:00 1... 0:03:00 2. 0:02:58 2... 0:02:58 3. 0:02:58 3... 0:02:56 4. 0:02:56 4... 0:02:55 5. 0:02:56 5... 0:02:55 6. 0:02:54 6... 0:02:54 7. 0:02:53 7... 0:02:52 8. 0:02:53 8... 0:02:50 9. 0:02:51 9... 0:02:49 10. 0:02:50 10... 0:02:47 11. 0:02:44 11... 0:02:45 12. 0:02:38 12... 0:02:41 13. 0:02:37 13... 0:02:38 14. 0:02:29 14... 0:02:27 15. 0:02:27 15... 0:02:20 16. 0:02:17 16... 0:02:06 17. 0:02:15 17... 0:02:02 18. 0:02:12 18... 0:01:59 19. 0:02:05 19... 0:01:44 20. 0:02:02 20... 0:01:41 21. 0:01:57 21... 0:01:39 22. 0:01:52 22... 0:01:32 23. 0:01:50 23... 0:01:26 24. 0:01:46 24... 0:01:22 25. 0:01:32 25... 0:01:20 26. 0:01:32
Rated Blitz game,https://lichess.org/pfouIBB9,2024.08.01,-,LexNiNo,MzaNDilE,1-0,2024.08.01,06:57:39,1561.0,1546.0,,,C20,King's Pawn Game: Wayward Queen Attack,180+0,Time forfeit,"1. e4 1... e5 2. Qh5 2... Qf6 3. Nf3 3... g6 4. Qxe5 4... Qxe5 5.
Nxe5 5... d6 6. Nf3 6... Be6 7. e5 7... Bg7 8. exd6 8... cxd6 9.
Bb5 9... Bd7 10. Bxd7 10... Nxd7 11. c3 11... O-O-O 12. d4 12... Ngf6 13. O-O 13... Rhe8 14.
Bg5 14... h6 15. Bxf6 15... Nxf6 16. Nbd2 16... Ne4 17. Nxe4 17... Rxe4 18. Rfe1 18... Rxe1 19. Rxe1 19... Kc7 20. Re7 20... Kc6 21. Rxf7 21... Bf8 22. Rf6 22... g5 23.
Ne5 23... Kd5 24. Ng6 24... Bg7 25. Rf7 25... Re8 26. h3 26... Bxd4 27.
cxd4 27... Kxd4 28. Rxb7 28... d5 29. Rxa7 29... Re6 30. Ne7 30... Kc4 31. Ng8 31... d4 32.
Rd7 32... d3 33. b3 33... Kc3 34. Ne7 34... d2 35. Rc7 35... Kb2 36.
Rd7 36... Kc1 37. Rc7 37... Kd1 38. Nf5 38... Ke1 39. Ne3 39... Rd6 40.
a4 40... h5 41. a5 41... g4 42. h4 42... g3 43. f3 43... d1=Q 44.
Nxd1 44... Rxd1 45. Rc2 45... Ra1 46. b4 46...
Kd1 47. Rb2 47... Kc1 48. Re2 48... Rb1 49. Kf1 49... Rxb4 50. Ra2 50... Rb1 51. Ke2 51... Rb2 52. Rxb2 52... Kxb2 53. a6 53... Kc3 54. a7 54... Kd4 55. a8=Q 55... Ke5 56. Qe4 56... Kf6 57. Qf4 57... Kg7 58.
Qxg3 58... Kh6 59. Qg5 59... Kh7 60. Qxh5 60... Kg8 61. Qg5 61... Kf7 62. h5 62... Ke6 63.
h6 63... Kd7 64. h7",1. 0:03:00 1... 0:03:00 2. 0:02:57 2... 0:02:57 3. 0:02:56 3... 0:02:55 4. 0:02:55 4... 0:02:54 5. 0:02:54 5... 0:02:45 6. 0:02:53 6... 0:02:44 7. 0:02:52 7... 0:02:39 8. 0:02:50 8... 0:02:38 9. 0:02:48 9... 0:02:36 10. 0:02:48 10... 0:02:36 11. 0:02:46 11... 0:02:35 12. 0:02:45 12... 0:02:32 13. 0:02:44 13... 0:02:28 14. 0:02:42 14... 0:02:26 15. 0:02:41 15... 0:02:26 16. 0:02:38 16... 0:02:25 17. 0:02:37 17... 0:02:25 18. 0:02:36 18... 0:02:23 19. 0:02:36 19... 0:02:16 20. 0:02:35 20... 0:02:15 21. 0:02:34 21... 0:02:11 22. 0:02:32 22... 0:02:09 23. 0:02:30 23... 0:02:07 24. 0:02:29 24... 0:02:02 25. 0:02:26 25... 0:01:59 26. 0:02:24 26... 0:01:20 27. 0:02:21 27... 0:01:18 28. 0:02:16 28... 0:01:15 29. 0:02:15 29... 0:01:14 30. 0:02:12 30... 0:01:07 31. 0:02:07 31... 0:01:06 32. 0:02:03 32... 0:01:04 33. 0:02:01 33... 0:01:03 34. 0:01:53 34... 0:01:01 35. 0:01:48 35... 0:00:55 36. 0:01:48 36... 0:00:49 37. 0:01:45 37... 0:00:48 38. 0:01:42 38... 0:00:44 39. 0:01:40 39... 0:00:33 40. 0:01:35 40... 0:00:31 41. 0:01:30 41... 0:00:31 42. 0:01:25 42... 0:00:27 43. 0:01:24 43... 0:00:20 44. 0:01:23 44... 0:00:20 45. 0:01:16 45... 0:00:15 46. 0:01:13 46... 0:00:12 47. 0:01:11 47... 0:00:10 48. 0:01:07 48... 0:00:09 49. 0:01:05 49... 0:00:08 50. 0:01:04 50... 0:00:06 51. 0:01:02 51... 0:00:04 52. 0:01:00 52... 0:00:04 53. 0:01:00 53... 0:00:03 54. 0:00:59 54... 0:00:03 55. 0:00:58 55... 0:00:02 56. 0:00:58 56... 0:00:01 57. 0:00:56 57... 0:00:01 58. 0:00:56 58... 0:00:01 59. 0:00:55 59... 0:00:00 60. 0:00:54 60... 0:00:00 61. 0:00:54 61... 0:00:00 62. 0:00:53 62... 0:00:00 63. 0:00:53 63... 0:00:00 64. 0:00:52
Rated Blitz game,https://lichess.org/1wDKr0gn,2024.08.01,-,Dinesh8400-India,erennonal,1-0,2024.08.01,06:57:39,1306.0,1326.0,,,B30,Sicilian Defense: Old Sicilian,180+0,Normal,"1. e4 1... c5 2. Nf3 2... Nc6 3. Bc4 3... Nf6 4. Nc3 4... e6 5. O-O 5... d5 6. exd5 6...
exd5 7. Bb5 7... Bd7 8. Re1 8... Be7 9. d3 9... a6 10. Bxc6 10... Bxc6 11. Ne5 11... O-O 12.
Nxc6 12... bxc6 13. Bg5 13... h6 14. Bh4 14...
d4 15. Ne4 15... Nxe4 16. Bxe7 16... Qxe7 17. Rxe4 17... Qd6 18. Qf3 18... Rfe8 19. Rae1 19... Re6 20. Rxe6 20... fxe6 21. Qg4 21... Re8 22. Qg6 22... Qf8 23. Rxe6",1. 0:03:00 1... 0:03:00 2. 0:02:59 2... 0:02:58 3. 0:02:58 3... 0:02:56 4. 0:02:57 4... 0:02:55 5. 0:02:56 5... 0:02:55 6. 0:02:55 6... 0:02:55 7. 0:02:53 7... 0:02:53 8. 0:02:49 8... 0:02:52 9. 0:02:44 9... 0:02:47 10. 0:02:43 10... 0:02:46 11. 0:02:39 11... 0:02:27 12. 0:02:38 12... 0:02:27 13. 0:02:35 13... 0:02:25 14. 0:02:34 14... 0:02:24 15. 0:02:26 15... 0:02:20 16. 0:02:22 16... 0:02:19 17. 0:02:21 17... 0:02:15 18. 0:02:13 18... 0:02:11 19. 0:02:08 19... 0:02:04 20. 0:02:02 20... 0:02:02 21. 0:01:49 21... 0:01:56 22. 0:01:43 22... 0:01:44 23. 0:01:36
